team,season,points,yards,touchdown,field_goal,missed_fg,punt,turnovers,safety,total,end_of_period,blocked_punt,downs,blocked_fg,playoff
ARI,2002,417,6020,46,22,7,65,25,1,187,21,0,0,0,0
ATL,2002,314,5334,35,18,6,72,39,0,190,20,0,0,0,1
BAL,2002,354,5353,33,29,4,78,31,2,191,14,0,0,0,0
BUF,2002,397,5189,44,19,7,71,19,0,188,28,0,0,0,0
CAR,2002,302,4646,30,24,5,103,33,0,212,17,0,0,0,0
CHI,2002,379,5606,37,37,7,78,28,1,202,14,0,0,0,0
CIN,2002,456,5265,46,23,8,65,20,1,179,16,0,0,0,0
CLE,2002,320,5348,32,28,9,76,29,0,189,15,0,0,0,1
DAL,2002,329,5267,32,27,11,94,30,2,209,13,0,0,0,0
DEN,2002,344,4826,36,25,7,77,22,0,177,10,0,0,0,0
DET,2002,451,6117,46,29,4,80,24,0,202,19,0,0,0,0
GB,2002,328,4985,38,16,6,76,45,0,198,17,0,0,0,1
HOU,2002,356,5230,37,24,10,98,21,2,210,18,0,0,0,0
IND,2002,313,4909,35,21,5,74,27,0,178,16,0,0,0,1
JAX,2002,315,5335,33,23,11,65,27,0,176,17,0,0,0,0
KC,2002,399,6248,46,26,6,60,31,0,182,13,0,0,0,0
LV,2002,304,4979,35,17,6,71,31,0,181,21,0,0,0,1
LAC,2002,367,6034,41,21,10,83,27,1,196,13,0,0,0,0
LAR,2002,369,5025,30,26,4,70,26,0,181,25,0,0,0,0
MIA,2002,301,4656,29,28,2,80,30,0,188,19,0,0,0,0
MIN,2002,442,5769,48,21,7,65,23,0,187,23,0,0,0,0
NE,2002,346,5377,40,20,14,68,29,0,187,16,0,0,0,0
NO,2002,388,5796,43,23,5,73,38,1,196,13,0,0,0,0
NYG,2002,279,4949,29,21,10,84,25,1,185,15,0,0,0,1
NYJ,2002,336,5463,34,26,5,62,23,0,165,15,0,0,0,1
PHI,2002,241,4754,23,17,4,90,38,0,194,22,0,0,0,1
PIT,2002,345,4835,35,20,6,77,36,0,188,14,0,0,0,1
SF,2002,351,5158,37,22,8,65,27,0,169,10,0,0,0,1
SEA,2002,369,5852,39,22,4,65,30,0,177,17,0,0,0,0
TB,2002,196,4044,18,17,6,99,38,0,197,19,0,0,0,1
TEN,2002,324,4964,34,14,7,77,29,0,177,16,0,0,0,1
